Experiment,Load_Factor,Algorithm,Drop_Rate,Avg_Latency_us,P99_Latency_us,Retries,Delivered,Buffer_Size,Raw_Latency_us
Load Sweep,20.0,ECMP,78.66944779888023,730.8435303388495,3201.903999999996,6861.0,1943.0,,
Load Sweep,20.0,SPRAY,70.92535644394744,402.02781575757666,1425.6960000000008,4585.0,2080.0,,
Load Sweep,20.0,ADAPTIVE,0.0,361.3946781250001,2198.1359999999986,445.0,2560.0,,
Load Sweep,20.0,ADAPTIVE+CC,0.0,377.51749062500005,3021.168,498.0,2560.0,,
Load Sweep,40.0,ECMP,88.51045296167247,615.131208173691,2471.4559999999956,18012.0,2638.0,,
Load Sweep,40.0,SPRAY,79.72700233694498,483.34736038186134,1519.816000000002,13085.0,3817.0,,
Load Sweep,40.0,ADAPTIVE,0.0,335.8539703125003,1295.4400000000005,390.0,5120.0,,
Load Sweep,40.0,ADAPTIVE+CC,0.0,400.15121718750027,1271.7280000000003,486.0,5120.0,,
Load Sweep,70.0,ECMP,88.44099077221952,870.7467056478405,4483.504000000002,30235.0,4522.0,,
Load Sweep,70.0,SPRAY,77.38472876413856,18236.290773001037,126518.81600000004,20803.0,7058.0,,
Load Sweep,70.0,ADAPTIVE,0.0,425.2921303571434,1523.208000000002,451.0,8960.0,,
Load Sweep,70.0,ADAPTIVE+CC,0.0,498.56044553571496,1442.3200000000015,658.0,8960.0,,
Load Sweep,100.0,ECMP,85.91793232081002,1002.3497328063228,5143.336000000025,39057.0,7399.0,,
Load Sweep,100.0,SPRAY,68.92877492877493,26580.98874012855,189087.4640000001,20578.0,10906.0,,
Load Sweep,100.0,ADAPTIVE,0.0,559.406020624999,1728.8959999999968,495.0,12800.0,,
Load Sweep,100.0,ADAPTIVE+CC,0.09366219169528567,632.200378749999,1608.912000000001,785.0,12800.0,,
Load Sweep,150.0,ECMP,87.47108182125126,1166.8905000680536,5630.768000000025,59784.0,10019.0,,
Load Sweep,150.0,SPRAY,77.51720583330807,39871.566705848985,315070.3279999995,43146.0,14831.0,,
Load Sweep,150.0,ADAPTIVE,0.0,779.5726754166636,2131.3839999999923,539.0,19200.0,,
Load Sweep,150.0,ADAPTIVE+CC,12.434092888909266,991.930032987944,7054.208000000008,3088.0,19099.0,,
Load Sweep,200.0,ECMP,86.01681188085048,1899.2397211571938,12357.351999999997,85961.0,16402.0,,
Load Sweep,200.0,SPRAY,78.64747078337416,33391.73787048639,378730.95999999926,61035.0,19696.0,,
Load Sweep,200.0,ADAPTIVE,0.0,997.737922187497,2440.0319999999956,633.0,25600.0,,
Load Sweep,200.0,ADAPTIVE+CC,1.86683022194963,1162.7595156249977,3921.7520000000145,1600.0,25600.0,,
Load Sweep,400.0,ECMP,88.41993119333662,3210.1318139302307,17977.376000000026,177866.0,27500.0,,
Load Sweep,400.0,SPRAY,81.42334438424841,147865.04679933918,947272.1680000009,134991.0,36758.0,,
Load Sweep,400.0,ADAPTIVE,0.0,1900.959423906234,3946.0879999999725,888.0,51200.0,,
Load Sweep,400.0,ADAPTIVE+CC,48.746993982524295,2149.733733941405,11663.600000000008,38263.0,47101.0,,
Load Sweep,600.0,ECMP,88.50722743867118,5761.768709435358,38530.50400000046,278786.0,42656.0,,
Load Sweep,600.0,SPRAY,78.47361862154403,228545.84118098454,1134979.080000002,178927.0,58558.0,,
Load Sweep,600.0,ADAPTIVE,0.0,2816.727683541671,5738.656000000214,1271.0,76800.0,,
Load Sweep,600.0,ADAPTIVE+CC,73.28933084371879,2840.6190563457467,14403.160000000016,141039.0,61512.0,,
Buffer Sweep,,ECMP,98.12959818902094,671.4428733333326,,,,16.0,
Buffer Sweep,,SPRAY,98.0990384546746,1667.1242953846172,,,,16.0,
Buffer Sweep,,ADAPTIVE,16.403239501012344,2102.6107663931234,,,,16.0,
Buffer Sweep,,ADAPTIVE+CC,77.60961634280021,137712.79462928665,,,,16.0,
Buffer Sweep,,ECMP,94.94600017704859,1107.614537462535,,,,32.0,
